Id,SalePrice
1461,133914.06
1462,148495.78
1463,172249.75
1464,188226.44
1465,220748.44
1466,176841.44
1467,152347.58
1468,162643.84
1469,182272.72
1470,114372.38
1471,173895.83
1472,101168.414
1473,106743.1
1474,163002.23
1475,135268.34
1476,426531.66
1477,283234.5
1478,328485.38
1479,290805.25
1480,447257.2
1481,303150.44
1482,217691.34
1483,170553.69
1484,178972.23
1485,175747.1
1486,203449.89
1487,326045.06
1488,246651.67
1489,199990.11
1490,181317.61
1491,202659.42
1492,119010.375
1493,158074.3
1494,317766.8
1495,308635.25
1496,202175.47
1497,214224.19
1498,174217.02
1499,174217.02
1500,165988.58
1501,183663.42
1502,180894.28
1503,247565.1
1504,245450.02
1505,205448.2
1506,181946.22
1507,218523.56
1508,183464.89
1509,174364.62
1510,142264.62
1511,141767.3
1512,160764.02
1513,164125.33
1514,138094.08
1515,171461.9
1516,154004.84
1517,145888.56
1518,156476.92
1519,188689.95
1520,133467.44
1521,134471.53
1522,164722.61
1523,123657.77
1524,112748.24
1525,124148.625
1526,124111.57
1527,103317.48
1528,131988.89
1529,143915.11
1530,149356.75
1531,109432.65
1532,90456.76
1533,141507.83
1534,118351.766
1535,138770.16
1536,111601.23
1537,73101.07
1538,170353.9
1539,206243.66
1540,105036
1541,137000.88
1542,135987.23
1543,205434.69
1544,79667.11
1545,130261.95
1546,138380.69
1547,140336.45
1548,131639.67
1549,121552.695
1550,138575.61
1551,119548.66
1552,126750.9
1553,125813.7
1554,113034.62
1555,176284.1
1556,140840.31
1557,106355.445
1558,115280.08
1559,114874.45
1560,138130.17
1561,121409.27
1562,123777.29
1563,117293.41
1564,140719.2
1565,144513.38
1566,219669
1567,83314.4
1568,219375.9
1569,111122.15
1570,138259.47
1571,114518.195
1572,125107.414
1573,187785.9
1574,133641.55
1575,192476.5
1576,219820.94
1577,197366.31
1578,137201.83
1579,139508.33
1580,194485.7
1581,140344.48
1582,133505
1583,273781.4
1584,244438.78
1585,145788.97
1586,78383.45
1587,115757.984
1588,124196.586
1589,107366.39
1590,127831.305
1591,96268.77
1592,111823.47
1593,118509.43
1594,150862.45
1595,121199.65
1596,227280.56
1597,189914.69
1598,217889.9
1599,181574.4
1600,188475.4
1601,43421.832
1602,114081.52
1603,72354.57
1604,249243.27
1605,246429.72
1606,158294.39
1607,194285.67
1608,205765.27
1609,201936.34
1610,162939.75
1611,143915.11
1612,166987.75
1613,149814.67
1614,99923.414
1615,86098.555
1616,86098.555
1617,94480.71
1618,120000.305
1619,134432.67
1620,190779.5
1621,145156.2
1622,142252.55
1623,226864.78
1624,188436.77
1625,131815.67
1626,155072.45
1627,179228.78
1628,266395.38
1629,184356.58
1630,293665.5
1631,219197.73
1632,251375.44
1633,170616.64
1634,182471.34
1635,175686.77
1636,166710.89
1637,184938.05
1638,230142.44
1639,175189.69
1640,254298.8
1641,172411.3
1642,243076.3
1643,243913.44
1644,245404.84
1645,164261.25
1646,153781.61
1647,168540.16
1648,140103.77
1649,130042.76
1650,116182.125
1651,116182.125
1652,101120.76
1653,101721.21
1654,162530.97
1655,154086.83
1656,154587.25
1657,162150.58
1658,159365.75
1659,134885.11
1660,151042.69
1661,434310.88
1662,459930.1
1663,406518.3
1664,441468.03
1665,388453.72
1666,276612.44
1667,324274.4
1668,375960.8
1669,316279.62
1670,395289.6
1671,228303.11
1672,387547.9
1673,325068.9
1674,271798.8
1675,182809.95
1676,189650.62
1677,197738.22
1678,419008.4
1679,313698.62
1680,353460.16
1681,310735.4
1682,266394.34
1683,188993.6
1684,184359.05
1685,177549.16
1686,173681.69
1687,175747.1
1688,201790.22
1689,201790.22
1690,189869.95
1691,175747.1
1692,238874.3
1693,175747.1
1694,166546.58
1695,172814.61
1696,236706.8
1697,172814.61
1698,348575.47
1699,320378.84
1700,263847.03
1701,293041.62
1702,260696.77
1703,254623.02
1704,257224.02
1705,214013.86
1706,384681.25
1707,205068.27
1708,195496.75
1709,292686.34
1710,233342.78
1711,248987.16
1712,249179.81
1713,253991.95
1714,210109.17
1715,215841.38
1716,185413.27
1717,176458.52
1718,143754.89
1719,203760.19
1720,242207.39
1721,182409.05
1722,134984.31
1723,158692.08
1724,210581.19
1725,240447.69
1726,188459.05
1727,171830.88
1728,203373.66
1729,156292.58
1730,182794.61
1731,123278.74
1732,128000.87
1733,123330.125
1734,124717.516
1735,134711.81
1736,121776.87
1737,315614.03
1738,223139.78
1739,284189.06
1740,202428.02
1741,179768.52
1742,183663.42
1743,194041.25
1744,302197.9
1745,227564.25
1746,276094.56
1747,240287.69
1748,231270.9
1749,150488.98
1750,149203
1751,225912.88
1752,117562.07
1753,154002.05
1754,211606.48
1755,158530.67
1756,115471.64
1757,119123.36
1758,131884.33
1759,157951.94
1760,154359.66
1761,142684.2
1762,172610.36
1763,166370.05
1764,126141.805
1765,173600.39
1766,158578.45
1767,177061.16
1768,139032.3
1769,162884.3
1770,145037.77
1771,134522.45
1772,141760
1773,122646.914
1774,160734.58
1775,138800.2
1776,126217.86
1777,104757.195
1778,129694.98
1779,139972.5
1780,156209.14
1781,125159.09
1782,87624.13
1783,141758.25
1784,95011.47
1785,116973.7
1786,127438.51
1787,166479.56
1788,62527.555
1789,112166.31
1790,64181.69
1791,200811.53
1792,143179.97
